test, size, density, tree, frederickson, randomized, exact, even
1, 10, 0.1, path, 113464, 109496, 171205, 21277044
2, 10, 0.1, path, 123492, 131699, 165726, 43709
3, 10, 0.1, path, 101293, 136288, 144533, 43421
1, 10, 0.1, star, 187977, 116120, 135465, 110925
2, 10, 0.1, star, 118386, 120464, 133816, 112822
3, 10, 0.1, star, 130250, 121152, 136293, 118333
1, 10, 0.1, starlike, 110632, 132408, 140505, 112893
2, 10, 0.1, starlike, 119255, 119616, 134964, 43141
3, 10, 0.1, starlike, 172497, 113648, 132988, 76237
1, 10, 0.1, caterpillar, 154420, 111160, 134345, 72973
2, 10, 0.1, caterpillar, 167929, 110424, 142239, 83541
3, 10, 0.1, caterpillar, 167446, 115272, 134282, 110869
1, 10, 0.1, lobster, 170049, 110792, 135273, 72941
2, 10, 0.1, lobster, 138145, 109696, 132778, 40629
3, 10, 0.1, lobster, 175313, 109984, 134494, 73621
1, 10, 0.1, random, 95048, 125200, 129498, 53637
2, 10, 0.1, random, 121460, 129904, 138552, 63589
3, 10, 0.1, random, 169073, 111160, 134624, 63141
1, 10, 0.5, path, 211457, 134632, 171436, 53389
2, 10, 0.5, path, 159335, 135208, 162126, 53557
3, 10, 0.5, path, 147031, 128056, 161115, 45229
1, 10, 0.5, star, 264649, 116848, 153916, 143917
2, 10, 0.5, star, 183842, 117424, 160075, 151589
3, 10, 0.5, star, 169250, 134192, 154211, 150021
1, 10, 0.5, starlike, 177039, 119656, 159065, 52869
2, 10, 0.5, starlike, 227199, 118048, 159641, 151589
3, 10, 0.5, starlike, 186716, 130504, 171289, 54037
1, 10, 0.5, caterpillar, 137872, 114480, 160468, 111181
2, 10, 0.5, caterpillar, 147400, 132720, 163016, 144448
3, 10, 0.5, caterpillar, 218526, 113288, 158084, 109933
1, 10, 0.5, lobster, 305336, 113488, 159803, 110896
2, 10, 0.5, lobster, 216105, 113552, 159684, 110848
3, 10, 0.5, lobster, 138448, 133056, 158508, 136325
1, 10, 0.5, random, 233167, 115208, 163645, 111661
2, 10, 0.5, random, 220775, 121264, 163942, 57941
3, 10, 0.5, random, 265987, 112312, 160143, 86789
1, 10, 0.8, path, 156416, 122600, 176537, 55485
2, 10, 0.8, path, 159248, 146880, 178503, 55549
3, 10, 0.8, path, 165728, 111792, 179191, 55549
1, 10, 0.8, star, 193122, 124528, 167456, 150597
2, 10, 0.8, star, 197978, 123720, 168744, 158205
3, 10, 0.8, star, 200394, 124528, 169457, 160261
1, 10, 0.8, starlike, 301939, 116352, 172212, 134541
2, 10, 0.8, starlike, 198986, 124096, 168457, 157597
