test, size, density, tree, exact, randomized, frederickson
1, 100, 0.1, path, 2118674, 537443, 2297096
2, 100, 0.1, path, 5560133, 334716, 2273139
3, 100, 0.1, path, 5711866, 331722, 2267841
4, 100, 0.1, path, 5249687, 338791, 2281126
1, 100, 0.1, star, 3276959, 703896, 2912119
2, 100, 0.1, star, 4857301, 705662, 3727640
3, 100, 0.1, star, 4623659, 706648, 3430767
1, 100, 0.1, starlike, 5505939, 425126, 2354717
2, 100, 0.1, starlike, 3220787, 682544, 2710911
3, 100, 0.1, starlike, 4426515, 618816, 2543207
1, 100, 0.1, caterpillar, 4656354, 714096, 2740919
2, 100, 0.1, caterpillar, 7062589, 342712, 2274127
3, 100, 0.1, caterpillar, 4288808, 717448, 3065759
1, 100, 0.1, lobster, 5222767, 668872, 2700935
2, 100, 0.1, lobster, 4621758, 804968, 2728031
3, 100, 0.1, lobster, 4626945, 694752, 2617647
1, 100, 0.1, random, 5439632, 492000, 2414991
2, 100, 0.1, random, 4240297, 539952, 2463111
3, 100, 0.1, random, 4763367, 524520, 2449423
1, 100, 0.5, path, 14839826, 395328, 4806167
2, 100, 0.5, path, 16187215, 405288, 5254287
3, 100, 0.5, path, 15274329, 403584, 5441287
1, 100, 0.5, star, 6906742, 708104, 6732108
2, 100, 0.5, star, 6732108, 712792, 6592287
3, 100, 0.5, star, 8974588, 709320, 6364269
1, 100, 0.5, starlike, 9270737, 701304, 6875503
2, 100, 0.5, starlike, 6875503, 709136, 6744151
3, 100, 0.5, starlike, 15940511, 479488, 4961287
1, 100, 0.5, caterpillar, 16616305, 439232, 5050119
2, 100, 0.5, caterpillar, 14701498, 431832, 5202143
3, 100, 0.5, caterpillar, 9591720, 501056, 4958847
1, 100, 0.5, lobster, 12149582, 542184, 5014535
2, 100, 0.5, lobster, 8404733, 778624, 6360087
3, 100, 0.5, lobster, 7149904, 752464, 5276287
1, 100, 0.5, random, 11341216, 576728, 4957031
2, 100, 0.5, random, 10579466, 598496, 5457471
3, 100, 0.5, random, 10287640, 591136, 5551447
1, 100, 0.8, path, 21272512, 467032, 7539999
2, 100, 0.8, path, 17949998, 443544, 7553647
3, 100, 0.8, path, 19526768, 445136, 6726383
1, 100, 0.8, star, 6726383, 707040, 8421759
2, 100, 0.8, star, 11265832, 709864, 8482359
3, 100, 0.8, star, 9832122, 708960, 8377551
1, 100, 0.8, starlike, 8486100, 513408, 6866991
2, 100, 0.8, starlike, 9313658, 649752, 7449799
3, 100, 0.8, starlike, 12029624, 619592, 7611551
1, 100, 0.8, caterpillar, 12971033, 564672, 6990423
2, 100, 0.8, caterpillar, 14543310, 603584, 7749031
3, 100, 0.8, caterpillar, 20416465, 499304, 7541319
1, 100, 0.8, lobster, 16460446, 503376, 7625095
2, 100, 0.8, lobster, 14658386, 621288, 7469244
3, 100, 0.8, lobster, 11672134, 669496, 8003359
1, 100, 0.8, random, 11676620, 682544, 7106828
2, 100, 0.8, random, 12467289, 582496, 7060391
3, 100, 0.8, random, 12769156, 627512, 7222175
