test, size, density, tree, frederickson, randomized, even
1, 100, 0.1, path, 1478698, 11720854, 522116
2, 100, 0.1, path, 1266230, 9252750, 486448
3, 100, 0.1, path, 1230384, 7033190, 486680
4, 100, 0.1, path, 1290128, 8061736, 479288
1, 100, 0.1, star, 2733992, 3528918, 584192
2, 100, 0.1, star, 2527560, 3581848, 578264
3, 100, 0.1, star, 2091584, 3624536, 594152
1, 100, 0.1, starlike, 1483872, 4902664, 536256
2, 100, 0.1, starlike, 2513304, 3580096, 615664
3, 100, 0.1, starlike, 1613032, 4862094, 509168
1, 100, 0.1, caterpillar, 1437752, 5270464, 496704
2, 100, 0.1, caterpillar, 1491936, 6330582, 484200
3, 100, 0.1, caterpillar, 1908696, 4062424, 561096
1, 100, 0.1, lobster, 1464616, 4679518, 522992
2, 100, 0.1, lobster, 1432648, 3135158, 515232
3, 100, 0.1, lobster, 1670144, 4853646, 518472
1, 100, 0.1, random, 1419552, 3819720, 498280
2, 100, 0.1, random, 1519720, 5862824, 492296
3, 100, 0.1, random, 1496912, 4850496, 511048
1, 100, 0.5, path, 3925832, 22930622, 1052216
2, 100, 0.5, path, 3857272, 26359264, 1046200
3, 100, 0.5, path, 4235392, 23327128, 1052488
1, 100, 0.5, star, 5363136, 5070040, 1443296
2, 100, 0.5, star, 3973248, 5028728, 1442840
3, 100, 0.5, star, 5299600, 5728270, 1442528
1, 100, 0.5, starlike, 3927080, 16387488, 1045664
2, 100, 0.5, starlike, 4232080, 6969702, 1380984
3, 100, 0.5, starlike, 3941768, 26390446, 1057416
1, 100, 0.5, caterpillar, 4157320, 6939496, 1231384
2, 100, 0.5, caterpillar, 4394896, 5835152, 1060888
3, 100, 0.5, caterpillar, 4271096, 7603374, 1050064
1, 100, 0.5, lobster, 4444928, 6219416, 1281864
2, 100, 0.5, lobster, 4188168, 7789784, 1120224
3, 100, 0.5, lobster, 4678752, 5036680, 1212832
1, 100, 0.5, random, 4562808, 5415112, 1041568
2, 100, 0.5, random, 4378176, 6366264, 1051504
3, 100, 0.5, random, 4514088, 7333640, 1050896
1, 100, 0.8, path, 5574016, 32164064, 1660856
2, 100, 0.8, path, 6425928, 31338600, 1661384
3, 100, 0.8, path, 6311248, 23904184, 1654136
1, 100, 0.8, star, 6084800, 8003944, 2056280
2, 100, 0.8, star, 5812080, 7899872, 2054896
3, 100, 0.8, star, 6866456, 8540272, 1949024
1, 100, 0.8, starlike, 6219776, 8599032, 1949256
2, 100, 0.8, starlike, 5930024, 10809936, 1683872
3, 100, 0.8, starlike, 6500640, 7803520, 2010936
1, 100, 0.8, caterpillar, 6527192, 7319416, 1923800
2, 100, 0.8, caterpillar, 6336008, 6043040, 1769536
3, 100, 0.8, caterpillar, 5911632, 5525536, 1748272
1, 100, 0.8, lobster, 6043952, 8163696, 1730328
2, 100, 0.8, lobster, 5977368, 10404920, 1645384
3, 100, 0.8, lobster, 6160160, 8290200, 1780488
1, 100, 0.8, random, 6136560, 5813656, 1661368
2, 100, 0.8, random, 5590464, 7087432, 1667360
3, 100, 0.8, random, 5856160, 9949768, 1659352
1, 1000, 0.1, path, 109201304, 86648642, 31494840
2, 1000, 0.1, path, 110133016, 98450816, 31321936
3, 1000, 0.1, path, 113998872, 84632768, 31413864
1, 1000, 0.1, star, 223551176, 85694520, 38626688
2, 1000, 0.1, star, 123402064, 41978392, 38524272
3, 1000, 0.1, star, 223021488, 86056640, 38661888
1, 1000, 0.1, starlike, 136563880, 42100696, 36859800
2, 1000, 0.1, starlike, 116041528, 71845608, 31564048
3, 1000, 0.1, starlike, 137620512, 51762160, 36067640
1, 1000, 0.1, caterpillar, 169555624, 64821712, 38018320
2, 1000, 0.1, caterpillar, 184444104, 43438536, 34336440
3, 1000, 0.1, caterpillar, 132695512, 49368520, 31384624
1, 1000, 0.1, lobster, 110464280, 54635880, 31498192
2, 1000, 0.1, lobster, 202007624, 72786912, 36970280
3, 1000, 0.1, lobster, 114918944, 55002808, 31535024
1, 1000, 0.1, random, 131937384, 55292376, 31301224
2, 1000, 0.1, random, 133955544, 56359472, 31494240
3, 1000, 0.1, random, 133460616, 55429848, 31339768
1, 1000, 0.5, path, 469737040, 254535054, 123038200
2, 1000, 0.5, path, 473290256, 315135146, 122994560
3, 1000, 0.5, path, 470962160, 253706304, 122996576
1, 1000, 0.5, star, 539568464, 132607216, 147026816
2, 1000, 0.5, star, 500309056, 133254944, 147033176
3, 1000, 0.5, star, 520331072, 155997552, 146932928
1, 1000, 0.5, starlike, 445964152, 195044264, 123054012
2, 1000, 0.5, starlike, 438038424, 195965806, 122942184
3, 1000, 0.5, starlike, 462828744, 135552406, 137331096
1, 1000, 0.5, caterpillar, 475808792, 135595888, 123078784
2, 1000, 0.5, caterpillar, 469116704, 131066016, 123025536
3, 1000, 0.5, caterpillar, 540374360, 133042608, 135995584
1, 1000, 0.5, lobster, 451149256, 140059568, 123029456
2, 1000, 0.5, lobster, 478298600, 192618368, 123048544
3, 1000, 0.5, lobster, 467068224, 190919040, 123055416
1, 1000, 0.5, random, 478510720, 191773648, 123003344
2, 1000, 0.5, random, 469742152, 192287488, 123046080
3, 1000, 0.5, random, 469591928, 192343208, 122978000
1, 1000, 0.8, path, 616979056, 378704424, 136413472
2, 1000, 0.8, path, 606337136, 426742864, 136434064
3, 1000, 0.8, path, 614146312, 297986048, 136404600
1, 1000, 0.8, star, 629478000, 153023360, 170451488
2, 1000, 0.8, star, 602354984, 147205248, 170530328
3, 1000, 0.8, star, 664519944, 186072392, 170482328
1, 1000, 0.8, starlike, 517409408, 279705168, 136387856
2, 1000, 0.8, starlike, 556991640, 212294320, 136379500
