test, size, density, tree, frederickson, randomized, exact, even
1, 10, 0.1, path, 2, 2, 2, 2
2, 10, 0.1, path, 2, 2, 2, 2
3, 10, 0.1, path, 2, 2, 2, 2
1, 10, 0.1, star, 8, 5, 5, 6
2, 10, 0.1, star, 7, 5, 5, 5
3, 10, 0.1, star, 8, 6, 5, 6
1, 10, 0.1, starlike, 8, 5, 5, 5
2, 10, 0.1, starlike, 2, 2, 2, 2
3, 10, 0.1, starlike, 7, 5, 5, 5
1, 10, 0.1, caterpillar, 4, 4, 4, 4
2, 10, 0.1, caterpillar, 3, 2, 2, 2
3, 10, 0.1, caterpillar, 7, 6, 5, 6
1, 10, 0.1, lobster, 4, 3, 3, 3
2, 10, 0.1, lobster, 3, 3, 3, 3
3, 10, 0.1, lobster, 4, 3, 3, 4
1, 10, 0.1, random, 2, 2, 2, 2
2, 10, 0.1, random, 4, 3, 3, 3
3, 10, 0.1, random, 4, 4, 4, 4
1, 10, 0.5, path, 1, 2, 1, 1
2, 10, 0.5, path, 1, 1, 1, 1
3, 10, 0.5, path, 2, 2, 2, 2
1, 10, 0.5, star, 8, 5, 5, 5
2, 10, 0.5, star, 8, 5, 5, 5
3, 10, 0.5, star, 8, 6, 5, 5
1, 10, 0.5, starlike, 1, 2, 1, 1
2, 10, 0.5, starlike, 8, 5, 5, 5
3, 10, 0.5, starlike, 1, 2, 1, 1
1, 10, 0.5, caterpillar, 5, 4, 3, 4
2, 10, 0.5, caterpillar, 6, 4, 4, 4
3, 10, 0.5, caterpillar, 5, 4, 3, 4
1, 10, 0.5, lobster, 5, 4, 3, 4
2, 10, 0.5, lobster, 5, 3, 3, 3
3, 10, 0.5, lobster, 6, 4, 4, 4
1, 10, 0.5, random, 5, 4, 3, 3
2, 10, 0.5, random, 2, 3, 2, 2
3, 10, 0.5, random, 3, 2, 2, 3
1, 10, 0.8, path, 1, 2, 1, 1
2, 10, 0.8, path, 1, 2, 1, 1
3, 10, 0.8, path, 1, 1, 1, 1
1, 10, 0.8, star, 8, 5, 5, 5
2, 10, 0.8, star, 8, 5, 5, 5
3, 10, 0.8, star, 8, 5, 5, 5
1, 10, 0.8, starlike, 5, 3, 3, 3
2, 10, 0.8, starlike, 8, 6, 5, 5
3, 10, 0.8, starlike, 3, 2, 2, 2
1, 10, 0.8, caterpillar, 7, 5, 4, 4
2, 10, 0.8, caterpillar, 4, 3, 3, 3
3, 10, 0.8, caterpillar, 6, 4, 4, 4
1, 10, 0.8, lobster, 5, 4, 3, 3
2, 10, 0.8, lobster, 3, 2, 2, 2
3, 10, 0.8, lobster, 1, 2, 1, 1
1, 10, 0.8, random, 3, 3, 2, 3
2, 10, 0.8, random, 2, 2, 2, 2
3, 10, 0.8, random, 5, 4, 3, 4
1, 100, 0.1, path, 2, 2, 2, 2
2, 100, 0.1, path, 2, 2, 2, 2
3, 100, 0.1, path, 2, 2, 2, 2
1, 100, 0.1, star, 98, 63, 50, 52
2, 100, 0.1, star, 98, 62, 50, 51
3, 100, 0.1, star, 98, 62, 50, 53
1, 100, 0.1, starlike, 88, 59, 45, 48
2, 100, 0.1, starlike, 37, 28, 19, 21
3, 100, 0.1, starlike, 51, 38, 26, 29
1, 100, 0.1, caterpillar, 51, 37, 26, 27
2, 100, 0.1, caterpillar, 58, 42, 0, 32
3, 100, 0.1, caterpillar, 30, 23, 16, 17
1, 100, 0.1, lobster, 61, 41, 31, 33
2, 100, 0.1, lobster, 55, 38, 28, 31
3, 100, 0.1, lobster, 82, 53, 42, 42
1, 100, 0.1, random, 36, 26, 19, 19
2, 100, 0.1, random, 29, 23, 15, 16
3, 100, 0.1, random, 37, 28, 19, 20
1, 100, 0.5, path, 1, 1, 0, 1
2, 100, 0.5, path, 1, 1, 0, 1
3, 100, 0.5, path, 2, 2, 0, 2
1, 100, 0.5, star, 98, 64, 0, 50
2, 100, 0.5, star, 98, 64, 0, 50
3, 100, 0.5, star, 98, 63, 0, 50
1, 100, 0.5, starlike, 48, 35, 0, 25
2, 100, 0.5, starlike, 89, 58, 0, 45
3, 100, 0.5, starlike, 40, 30, 0, 21
1, 100, 0.5, caterpillar, 86, 57, 0, 44
2, 100, 0.5, caterpillar, 22, 18, 0, 12
3, 100, 0.5, caterpillar, 74, 50, 0, 38
1, 100, 0.5, lobster, 54, 40, 0, 28
2, 100, 0.5, lobster, 18, 14, 0, 10
3, 100, 0.5, lobster, 71, 49, 0, 36
1, 100, 0.5, random, 37, 29, 0, 20
2, 100, 0.5, random, 36, 27, 0, 19
3, 100, 0.5, random, 42, 31, 0, 22
1, 100, 0.8, path, 1, 1, 0, 1
2, 100, 0.8, path, 1, 1, 0, 1
3, 100, 0.8, path, 1, 2, 0, 1
1, 100, 0.8, star, 98, 63, 0, 50
2, 100, 0.8, star, 98, 63, 0, 50
3, 100, 0.8, star, 98, 64, 0, 50
1, 100, 0.8, starlike, 61, 43, 0, 31
2, 100, 0.8, starlike, 76, 50, 0, 39
3, 100, 0.8, starlike, 1, 1, 0, 1
1, 100, 0.8, caterpillar, 98, 63, 0, 50
2, 100, 0.8, caterpillar, 88, 59, 0, 45
3, 100, 0.8, caterpillar, 25, 20, 0, 13
1, 100, 0.8, lobster, 59, 40, 0, 30
2, 100, 0.8, lobster, 88, 56, 0, 45
3, 100, 0.8, lobster, 50, 36, 0, 26
1, 100, 0.8, random, 40, 30, 0, 21
2, 100, 0.8, random, 36, 27, 0, 19
3, 100, 0.8, random, 41, 29, 0, 21
