test, size, density, tree, exact, randomized, frederickson
1, 100, 0.1, path, 2, 2, 2
2, 100, 0.1, path, 1, 1, 1
3, 100, 0.1, path, 2, 2, 2
4, 100, 0.1, path, 2, 2, 2
1, 100, 0.1, star, 50, 63, 98
2, 100, 0.1, star, 50, 63, 98
3, 100, 0.1, star, 50, 63, 98
1, 100, 0.1, starlike, 9, 14, 16
2, 100, 0.1, starlike, 46, 61, 91
3, 100, 0.1, starlike, 28, 39, 54
1, 100, 0.1, caterpillar, 46, 60, 90
2, 100, 0.1, caterpillar, 4, 4, 4
3, 100, 0.1, caterpillar, 39, 50, 76
1, 100, 0.1, lobster, 33, 44, 64
2, 100, 0.1, lobster, 40, 53, 78
3, 100, 0.1, lobster, 33, 46, 65
1, 100, 0.1, random, 19, 28, 37
2, 100, 0.1, random, 19, 27, 36
3, 100, 0.1, random, 19, 28, 36
1, 100, 0.5, path, 1, 1, 1
2, 100, 0.5, path, 2, 2, 2
3, 100, 0.5, path, 1, 1, 1
1, 100, 0.5, star, 50, 63, 98
2, 100, 0.5, star, 50, 64, 98
3, 100, 0.5, star, 50, 61, 98
1, 100, 0.5, starlike, 48, 61, 95
2, 100, 0.5, starlike, 50, 61, 98
3, 100, 0.5, starlike, 2, 3, 3
1, 100, 0.5, caterpillar, 6, 9, 10
2, 100, 0.5, caterpillar, 5, 8, 9
3, 100, 0.5, caterpillar, 22, 32, 42
1, 100, 0.5, lobster, 14, 21, 27
2, 100, 0.5, lobster, 42, 55, 83
3, 100, 0.5, lobster, 30, 42, 59
1, 100, 0.5, random, 17, 25, 32
2, 100, 0.5, random, 17, 25, 33
3, 100, 0.5, random, 19, 26, 36
1, 100, 0.8, path, 1, 1, 1
2, 100, 0.8, path, 1, 2, 1
3, 100, 0.8, path, 2, 2, 2
1, 100, 0.8, star, 50, 62, 98
2, 100, 0.8, star, 50, 64, 98
3, 100, 0.8, star, 50, 63, 98
1, 100, 0.8, starlike, 8, 12, 14
2, 100, 0.8, starlike, 41, 53, 81
3, 100, 0.8, starlike, 37, 48, 72
1, 100, 0.8, caterpillar, 18, 26, 34
2, 100, 0.8, caterpillar, 28, 39, 55
3, 100, 0.8, caterpillar, 9, 14, 17
1, 100, 0.8, lobster, 12, 17, 22
2, 100, 0.8, lobster, 21, 29, 40
3, 100, 0.8, lobster, 43, 57, 85
1, 100, 0.8, random, 23, 33, 45
2, 100, 0.8, random, 19, 25, 36
3, 100, 0.8, random, 19, 28, 37
