test, size, density, tree, exact, randomized, frederickson
1, 100, 0.1, path, 1.0401849746704102, 1.4831047058105469, 0.03420281410217285
2, 100, 0.1, path, 0.10635209083557129, 1.0061547756195068, 0.04694843292236328
3, 100, 0.1, path, 0.11731433868408203, 0.9462788105010986, 0.04955244064331055
4, 100, 0.1, path, 0.1071164608001709, 1.1787686347961426, 0.06204056739807129
1, 100, 0.1, star, 0.1565248966217041, 0.4659566879272461, 0.14878416061401367
2, 100, 0.1, star, 0.10681366920471191, 0.47634077072143555, 0.27268457412719727
3, 100, 0.1, star, 0.1718604564666748, 0.47475457191467285, 0.22521448135375977
1, 100, 0.1, starlike, 0.10853815078735352, 1.5987379550933838, 0.0668632984161377
2, 100, 0.1, starlike, 0.16271066665649414, 0.4891338348388672, 0.2523031234741211
3, 100, 0.1, starlike, 0.14296698570251465, 1.8156697750091553, 0.046508073806762695
1, 100, 0.1, caterpillar, 0.10824704170227051, 0.5556766986846924, 0.11788654327392578
2, 100, 0.1, caterpillar, 0.10807490348815918, 0.8840820789337158, 0.04596090316772461
3, 100, 0.1, caterpillar, 0.10628199577331543, 0.5198452472686768, 0.17102742195129395
1, 100, 0.1, lobster, 0.1057734489440918, 0.4560527801513672, 0.12915658950805664
2, 100, 0.1, lobster, 0.11517572402954102, 0.4637634754180908, 0.041678428649902344
3, 100, 0.1, lobster, 0.10159707069396973, 0.6424832344055176, 0.0365142822265625
1, 100, 0.1, random, 0.10673141479492188, 0.42412304878234863, 0.08024454116821289
2, 100, 0.1, random, 0.10533022880554199, 0.43431687355041504, 0.0456235408782959
3, 100, 0.1, random, 0.10073328018188477, 0.7645602226257324, 0.043990135192871094
1, 100, 0.5, path, 0.3054790496826172, 1.3147735595703125, 0.048383235931396484
2, 100, 0.5, path, 0.32208991050720215, 1.981006145477295, 0.24809622764587402
3, 100, 0.5, path, 0.3139622211456299, 1.8310282230377197, 0.2809572219848633
1, 100, 0.5, star, 0.2889580726623535, 0.49834680557250977, 0.5202293395996094
2, 100, 0.5, star, 0.3254389762878418, 0.4997386932373047, 0.3962523937225342
3, 100, 0.5, star, 0.25788378715515137, 0.5018274784088135, 0.30657172203063965
1, 100, 0.5, starlike, 0.2519364356994629, 0.5182247161865234, 0.36949586868286133
2, 100, 0.5, starlike, 0.2407679557800293, 0.4985229969024658, 0.4510805606842041
3, 100, 0.5, starlike, 0.3011634349822998, 2.0008885860443115, 0.09165453910827637
1, 100, 0.5, caterpillar, 0.3179454803466797, 0.8640620708465576, 0.13368487358093262
2, 100, 0.5, caterpillar, 0.34836339950561523, 0.7759013175964355, 0.1898818016052246
3, 100, 0.5, caterpillar, 0.28725361824035645, 0.4433135986328125, 0.13758325576782227
1, 100, 0.5, lobster, 0.27292823791503906, 1.3318169116973877, 0.13023805618286133
2, 100, 0.5, lobster, 0.30219268798828125, 0.489016056060791, 0.2964284420013428
3, 100, 0.5, lobster, 0.2673933506011963, 0.46538639068603516, 0.08771777153015137
1, 100, 0.5, random, 0.25336384773254395, 1.3138000965118408, 0.04774951934814453
2, 100, 0.5, random, 0.2543182373046875, 1.8796935081481934, 0.26290011405944824
3, 100, 0.5, random, 0.2478957176208496, 0.8655383586883545, 0.22293543815612793
1, 100, 0.8, path, 0.38536715507507324, 1.8928122520446777, 0.4047386646270752
2, 100, 0.8, path, 0.3778035640716553, 1.4316461086273193, 0.4264085292816162
3, 100, 0.8, path, 0.3875861167907715, 1.4099509716033936, 0.10049986839294434
1, 100, 0.8, star, 0.3028860092163086, 0.504021167755127, 0.40299010276794434
2, 100, 0.8, star, 0.310039758682251, 0.5193910598754883, 0.5153772830963135
3, 100, 0.8, star, 0.3035464286804199, 0.511763334274292, 0.43804311752319336
1, 100, 0.8, starlike, 0.30628442764282227, 2.63423490524292, 0.17268657684326172
2, 100, 0.8, starlike, 0.2925081253051758, 0.4857964515686035, 0.16983437538146973
3, 100, 0.8, starlike, 0.29075169563293457, 0.4763150215148926, 0.2763645648956299
1, 100, 0.8, caterpillar, 0.34616875648498535, 0.5013635158538818, 0.172013521194458
2, 100, 0.8, caterpillar, 0.35637831687927246, 0.4850125312805176, 0.3085603713989258
3, 100, 0.8, caterpillar, 0.38813114166259766, 0.7429919242858887, 0.3758964538574219
1, 100, 0.8, lobster, 0.3607170581817627, 0.47675466537475586, 0.46106934547424316
2, 100, 0.8, lobster, 0.3297994136810303, 0.5501790046691895, 0.2490379810333252
3, 100, 0.8, lobster, 0.310990571975708, 0.49648332595825195, 0.42033815383911133
1, 100, 0.8, random, 0.3087918758392334, 0.7971007823944092, 0.38126540184020996
2, 100, 0.8, random, 0.3195052146911621, 0.8113467693328857, 0.25408148765563965
3, 100, 0.8, random, 0.2919034957885742, 0.9749515056610107, 0.30126166343688965
